web-scraper-order,web-scraper-start-url,footballers,,,appearances,goals,assists,yellow cards,second yellows,red cards,starting lineup percentage,minutes played percentage,goal participation percentage
1653101454-506,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Harry Kane,,,36,16,8,5,-,-,95,94,38
1653101091-375,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,James Tavernier,,,3,2,-,-,-,-,75,77,17
1653101604-565,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jay Donnelly,,,2,1,-,-,-,-,67,67,13
1653101344-467,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Gerhard Progni,,,31,19,2,1,-,-,89,88,37
1653101512-528,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Mayron de Almeida,,,25,13,13,2,-,-,96,93,43
1653101573-553,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Akram Afif,,,18,13,17,2,-,1,77,70,38
1653100998-341,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Eran Zahavi,,,24,11,7,-,-,-,62,50,21
1653101429-498,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Isaac Acuña,,,19,12,-,4,1,-,86,83,33
1653101257-435,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Yendrick Ruiz,,,19,6,3,3,-,-,64,56,28
1653101427-497,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ramiro Rocca,,,-,-,-,-,-,-,0,0,0
